H(Oe)	T(K)	R1+(Ohm)	R1_SD(Ohm)	R2(Ohm)	R2_SD(Ohm)	Hall R1(Ohm)	Hall R1 SD(Ohm)	Hall R2(Ohm)	Hall R2 SD(Ohm)	V(mV)	V_SD(mV)	R(Ohm)	R_SD(Ohm)	Hall V(mV)	Hall V SD(mV)	Hall R(Ohm)	Hall R SD(Ohm)
-36020.270000	    1.900030	  133.048665	    0.000124	  158.569815	    0.000388	   23.131450	    0.000389	  -27.616595	    0.000677	   14.580924	    0.000026	  145.809240	    0.000256	   -0.224257	    0.000053	   -2.242573	    0.000533
-35717.470000	    1.900252	  132.967105	    0.000288	  158.782640	    0.000712	   23.080585	    0.000373	  -27.478795	    0.000514	   14.587487	    0.000050	  145.874872	    0.000500	   -0.219911	    0.000044	   -2.199105	    0.000444
-35416.890000	    1.900127	  133.182415	    0.000270	  158.447805	    0.000447	   22.958135	    0.000795	  -27.570655	    0.000451	   14.581511	    0.000036	  145.815110	    0.000358	   -0.230626	    0.000062	   -2.306260	    0.000623
-35114.090000	    1.900114	  133.003955	    0.000628	  158.654550	    0.000316	   23.340955	    0.000299	  -27.611390	    0.000709	   14.582925	    0.000047	  145.829252	    0.000472	   -0.213522	    0.000050	   -2.135217	    0.000504
-34812.410000	    1.900030	  133.141400	    0.000304	  158.470030	    0.000365	   23.310950	    0.000565	  -27.803510	    0.001324	   14.580571	    0.000033	  145.805715	    0.000335	   -0.224628	    0.000094	   -2.246280	    0.000944
-34510.730000	    1.899933	  132.896645	    0.000846	  158.576430	    0.001501	   23.233650	    0.000337	  -27.709800	    0.000706	   14.573654	    0.000117	  145.736537	    0.001174	   -0.223808	    0.000052	   -2.238075	    0.000522
-34206.830000	    1.899947	  132.976300	    0.000331	  158.518740	    0.000186	   23.296990	    0.000257	  -27.910035	    0.000772	   14.574752	    0.000026	  145.747520	    0.000259	   -0.230652	    0.000051	   -2.306522	    0.000514
-33907.360000	    1.899947	  132.937790	    0.000195	  158.613820	    0.000387	   23.056345	    0.000311	  -27.214710	    0.000561	   14.577580	    0.000029	  145.775805	    0.000291	   -0.207918	    0.000044	   -2.079183	    0.000436
-33606.790000	    1.900100	  133.116985	    0.000319	  158.292680	    0.000462	   23.145625	    0.000662	  -27.301390	    0.000253	   14.570483	    0.000039	  145.704833	    0.000390	   -0.207788	    0.000046	   -2.077883	    0.000458
-33303.990000	    1.900044	  133.027880	    0.000284	  158.380925	    0.000292	   23.136990	    0.000504	  -27.618610	    0.000326	   14.570440	    0.000029	  145.704402	    0.000288	   -0.224081	    0.000041	   -2.240810	    0.000415
-33003.410000	    1.900197	  132.930735	    0.000323	  158.734685	    0.000349	   23.230165	    0.000186	  -27.544235	    0.000416	   14.583271	    0.000034	  145.832710	    0.000336	   -0.215704	    0.000030	   -2.157035	    0.000301
-32698.400000	    1.900211	  132.851850	    0.000467	  158.645850	    0.000579	   23.393425	    0.000608	  -27.269110	    0.001185	   14.574885	    0.000052	  145.748850	    0.000523	   -0.193784	    0.000090	   -1.937842	    0.000896
-32397.830000	    1.900114	  132.941120	    0.000259	  158.403935	    0.000433	   23.217160	    0.000512	  -27.405575	    0.000494	   14.567253	    0.000035	  145.672528	    0.000346	   -0.209421	    0.000050	   -2.094207	    0.000503
-32095.590000	    1.900002	  133.085370	    0.000454	  158.392090	    0.000296	   23.109420	    0.000545	  -27.598475	    0.000538	   14.573873	    0.000038	  145.738730	    0.000375	   -0.224453	    0.000054	   -2.244528	    0.000541
-31792.790000	    1.900169	  132.952685	    0.000461	  158.436680	    0.000207	   23.058380	    0.000759	  -27.073310	    0.000361	   14.569468	    0.000033	  145.694682	    0.000334	   -0.200747	    0.000056	   -2.007465	    0.000560
-31491.670000	    1.900266	  133.048950	    0.000215	  158.305030	    0.000347	   23.161030	    0.000455	  -27.412375	    0.001046	   14.567699	    0.000028	  145.676990	    0.000281	   -0.212567	    0.000075	   -2.125673	    0.000750
-31188.870000	    1.900127	  133.051115	    0.000315	  158.277040	    0.000339	   23.409375	    0.002143	  -27.019345	    0.000696	   14.566408	    0.000033	  145.664077	    0.000327	   -0.180499	    0.000142	   -1.804985	    0.001419
-30888.300000	    1.900044	  133.190905	    0.000215	  158.238125	    0.000888	   22.844675	    0.000459	  -26.916745	    0.000493	   14.571452	    0.000055	  145.714515	    0.000552	   -0.203604	    0.000048	   -2.036035	    0.000476
-30586.610000	    1.900197	  133.066405	    0.000256	  158.122440	    0.000268	   22.949570	    0.000182	  -27.104630	    0.000534	   14.559442	    0.000026	  145.594422	    0.000262	   -0.207753	    0.000036	   -2.077530	    0.000358
-30285.480000	    1.900127	  133.020690	    0.000344	  158.355260	    0.000527	   23.014615	    0.000739	  -27.167795	    0.000492	   14.568797	    0.000044	  145.687975	    0.000436	   -0.207659	    0.000062	   -2.076590	    0.000616
-29983.240000	    1.900100	  133.001320	    0.000564	  158.200865	    0.000456	   23.214460	    0.000301	  -27.240065	    0.000754	   14.560109	    0.000051	  145.601092	    0.000510	   -0.201280	    0.000053	   -2.012803	    0.000527
-29681.560000	    1.900002	  133.009635	    0.000304	  158.182335	    0.001245	   23.172150	    0.000669	  -27.162780	    0.001139	   14.559598	    0.000077	  145.595985	    0.000774	   -0.199531	    0.000090	   -1.995315	    0.000904
-29379.320000	    1.900072	  132.975930	    0.000267	  158.268995	    0.001920	   23.423440	    0.000283	  -27.120560	    0.000810	   14.562246	    0.000109	  145.622462	    0.001094	   -0.184856	    0.000055	   -1.848560	    0.000547
-29077.080000	    1.899989	  132.841380	    0.000220	  158.180650	    0.000389	   23.401750	    0.000324	  -27.262060	    0.000554	   14.551101	    0.000030	  145.511015	    0.000304	   -0.193016	    0.000044	   -1.930155	    0.000439
-28774.840000	    1.900280	  132.927335	    0.000549	  158.189235	    0.000566	   23.498005	    0.000363	  -27.028985	    0.000189	   14.555829	    0.000056	  145.558285	    0.000558	   -0.176549	    0.000028	   -1.765490	    0.000276
-28473.710000	    1.900294	  132.931250	    0.000153	  158.258995	    0.000253	   23.502815	    0.000392	  -27.178330	    0.000469	   14.559512	    0.000020	  145.595123	    0.000203	   -0.183776	    0.000043	   -1.837758	    0.000431
